release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
2022-01-20,2022,1,545807,245273,196250,203805,196132
2022-01-21,2022,1,545807,243999,196563,203943,196455
2022-01-22,2022,1,545807,241443,196466,203741,196344
2022-01-23,2022,1,545807,238387,196259,203410,196155
2022-01-24,2022,1,545807,237099,196531,203521,196421
2022-01-25,2022,1,545807,235559,196549,203321,196423
2022-01-26,2022,1,545807,231483,196422,203090,196307
2022-01-27,2022,1,545807,229342,196223,202976,196115
2022-01-28,2022,1,545807,228944,196108,202857,195989
2022-01-29,2022,1,545807,228922,196229,202797,196113
2022-01-30,2022,1,545807,228524,195765,202370,195666
2022-01-31,2022,1,545807,228211,196082,202418,195970
2022-02-01,2022,2,545807,228215,195759,202336,195619
2022-02-02,2022,2,545807,227953,195801,202212,195674
2022-02-03,2022,2,545807,226745,195351,201645,195229
2022-02-04,2022,2,545807,225243,195484,201768,195334
2022-02-05,2022,2,545807,224196,195371,201650,195235
2022-02-06,2022,2,545807,222869,194924,200960,194804
2022-02-07,2022,2,545807,221803,194701,200845,194595
2022-02-08,2022,2,545807,221187,194537,200519,194414
2022-02-09,2022,2,545807,220466,194073,200063,193977
2022-02-10,2022,2,545807,219939,194142,200049,194048
2022-02-11,2022,2,545807,219489,194251,200073,194167
2022-02-12,2022,2,545807,218607,193791,199564,193714
2022-02-13,2022,2,545807,218350,193470,199219,193405
2022-02-14,2022,2,545807,218051,193486,199110,193425
2022-02-15,2022,2,545807,217846,193622,199139,193537
2022-02-16,2022,2,545807,217422,193351,198899,193273
2022-02-17,2022,2,545807,217180,193226,198816,193141
2022-02-18,2022,2,545807,217038,193196,198747,193104
2022-02-19,2022,2,545807,216742,193147,198537,193058
2022-02-20,2022,2,545807,216655,193340,198717,193229
2022-02-21,2022,2,545807,216137,192861,198127,192735
2022-02-22,2022,2,545807,215497,192541,197846,192419
2022-02-23,2022,2,545807,215291,192577,197761,192473
2022-02-24,2022,2,545807,215041,192642,197895,192533
2022-02-25,2022,2,545807,214860,192742,197914,192600
2022-02-26,2022,2,545807,213939,192474,197608,192358
2022-02-27,2022,2,545807,213284,192364,197431,192256
2022-02-28,2022,2,545807,212992,192561,197577,192452
2022-03-01,2022,3,545807,213021,192515,197537,192408
2022-03-02,2022,3,545807,212570,192413,197374,192311
2022-03-03,2022,3,545807,212152,192233,197093,192130
2022-03-04,2022,3,545807,211533,192002,196879,191917
2022-03-05,2022,3,545807,210976,191751,196635,191662
2022-03-06,2022,3,545807,211156,192164,196905,192080
2022-03-07,2022,3,545807,210745,191985,196709,191906
2022-03-08,2022,3,545807,210548,191909,196706,191825
2022-03-09,2022,3,545807,209680,191746,196293,191639
2022-03-10,2022,3,545807,209450,191749,196248,191609
2022-03-11,2022,3,545807,208779,191336,195825,191174
2022-03-12,2022,3,545807,208475,191149,195462,190963
2022-03-13,2022,3,545807,207937,190991,195321,190814
2022-03-14,2022,3,545807,207251,190733,195181,190571
2022-11-15,2023,11,545807,311297,198140,210949,197976
2022-11-16,2023,11,545807,315264,198163,210798,198009
2022-11-17,2023,11,545807,320222,197945,210455,197793
2022-11-18,2023,11,545807,322596,198110,210735,197970
2022-11-19,2023,11,545807,324457,197853,210092,197701
2022-11-20,2023,11,545807,327054,198076,210505,197937
2022-11-21,2023,11,545807,327170,197952,210409,197785
2022-11-22,2023,11,545807,327147,197981,210348,197827
2022-11-23,2023,11,545807,328725,198215,210486,198052
2022-11-24,2023,11,545807,329468,197905,210482,197739
2022-11-25,2023,11,545807,326798,197910,210285,197729
2022-11-26,2023,11,545807,323730,197786,210309,197601
2022-11-27,2023,11,545807,319167,197413,209725,197253
2022-11-28,2023,11,545807,312058,197168,209438,197025
2022-11-29,2023,11,545807,302856,196181,208002,196043
2022-11-30,2023,11,545807,293507,195509,207140,195396
2022-12-01,2023,12,545807,290809,195048,206736,194947
2022-12-02,2023,12,545807,291060,195508,206960,195392
2022-12-03,2023,12,545807,291461,195637,207003,195534
2022-12-04,2023,12,545807,290686,195657,206760,195529
2022-12-05,2023,12,545807,289125,195697,206919,195566
2022-12-06,2023,12,545807,287254,195672,206581,195543
2022-12-07,2023,12,545807,286254,195691,206694,195593
2022-12-08,2023,12,545807,284946,196510,207315,196366
2022-12-09,2023,12,545807,282761,197193,208019,197091
2022-12-10,2023,12,545807,283726,197734,208433,197618
2022-12-11,2023,12,545807,286325,198421,208985,198276
2022-12-12,2023,12,545807,289342,198601,208966,198451
2022-12-13,2023,12,545807,291414,198809,208762,198679
2022-12-14,2023,12,545807,296191,198845,208781,198707
2022-12-15,2023,12,545807,298189,199076,208625,198939
2022-12-16,2023,12,545807,300019,198804,208493,198681
2022-12-17,2023,12,545807,301339,198588,208325,198444
2022-12-18,2023,12,545807,301724,198732,208354,198589
2022-12-19,2023,12,545807,301421,198495,208025,198384
2022-12-20,2023,12,545807,301103,198291,207951,198168
2022-12-21,2023,12,545807,300211,197854,207350,197720
2022-12-22,2023,12,545807,299811,198119,207326,197988
2022-12-23,2023,12,545807,299072,198454,207711,198315
2022-12-24,2023,12,545807,298620,198524,207707,198378
2022-12-25,2023,12,545807,294937,198943,207569,198815
2022-12-26,2023,12,545807,293300,198795,206846,198637
2022-12-27,2023,12,545807,291118,198374,206348,198242
2022-12-28,2023,12,545807,289415,198354,206048,198208
2022-12-29,2023,12,545807,286576,198255,206060,198086
2022-12-30,2023,12,545807,285062,198103,205944,197909
2022-12-31,2023,12,545807,284357,198179,205835,197926
2023-01-01,2023,1,545807,284141,198641,206117,198351
2023-01-02,2023,1,545807,283312,198460,205953,198213
2023-01-03,2023,1,545807,283254,198247,205933,197998
2023-01-04,2023,1,545807,282715,198280,205856,198062
2023-01-05,2023,1,545807,281764,198811,206148,198610
2023-01-06,2023,1,545807,280590,198534,205898,198330
2023-01-07,2023,1,545807,279571,198846,205952,198642
2023-01-08,2023,1,545807,278026,199123,206098,198924
2023-01-09,2023,1,545807,270410,198683,205779,198489
2023-01-10,2023,1,545807,257570,198692,205625,198473
2023-01-11,2023,1,545807,251425,198826,205757,198623
2023-01-12,2023,1,545807,251103,199283,205991,199089
2023-01-13,2023,1,545807,250968,199108,205803,198904
2023-01-14,2023,1,545807,250721,199074,205862,198893
2023-01-15,2023,1,545807,250187,198727,205393,198585
2023-01-16,2023,1,545807,250103,198944,205450,198767
2023-01-17,2023,1,545807,249891,199198,205637,199020
2023-01-18,2023,1,545807,249048,198930,205285,198747
2023-01-19,2023,1,545807,247736,198970,205330,198819
2023-01-20,2023,1,545807,247307,199199,205683,199035
2023-01-21,2023,1,545807,245968,198842,205207,198679
2023-01-22,2023,1,545807,244075,198607,204992,198446
2023-01-23,2023,1,545807,240445,198785,205034,198652
2023-01-24,2023,1,545807,237786,198497,204770,198345
